,ville,temp_actuelle,temp_ressentie,temp_min,temp_max,pression_atmo,humidité,vitesse_vent,dir_vent,lever_sol,coucher_sol
0,Gueugnon,7.97,5.49,7.97,8.88,1020,54,4.04,nord-est,07:20:03,20:13:54
1,Paris,12.0,10.56,11.17,12.92,1024,50,7.2,nord-est,07:24:51,20:22:48
2,Gap,2.04,-1.84,2.04,2.04,1012,74,4.1,sud,07:13:55,20:04:31
3,Albi,14.14,13.36,13.28,14.14,1017,67,3.88,sud,07:29:54,20:19:22
4,Ajaccio,15.99,14.74,15.03,15.99,1007,42,2.06,sud,07:04:19,19:50:48
5,Lyon,8.01,7.57,7.03,8.17,1018,73,1.34,nord-est,07:18:42,20:11:05
6,Toulouse,13.01,11.99,12.99,14.31,1019,62,6.17,sud,07:32:58,20:21:56
7,Poitiers,8.23,5.32,8.23,9.58,1023,76,5.14,nord-est,07:34:58,20:28:48
8,Troyes,11.03,9.39,10.43,11.03,1024,46,7.2,nord-est,07:18:25,20:15:22
9,Biarritz,14.06,13.4,13.14,15.41,1020,72,5.66,nord,07:45:02,20:33:50
10,Beauvais,11.35,10.16,11.14,12.53,1024,62,6.17,nord-est,07:25:42,20:24:44
11,Amiens,11.71,10.29,11.55,12.25,1026,52,6.08,nord-est,07:24:02,20:24:00
12,Strasbourg,7.9,4.18,7.14,8.49,1025,49,7.2,nord-est,07:03:34,20:00:56
13,Auxerre,11.46,10.1,11.46,11.46,1022,55,7.23,nord-est,07:20:58,20:16:56
14,Marseille,17.7,16.44,14.53,18.7,1009,35,2.24,sud-ouest,07:16:58,20:05:29
15,Nice,9.52,8.3,7.34,10.44,1010,66,2.44,sud-ouest,07:09:27,19:58:59
16,Nantes,9.22,6.56,8.96,10.94,1023,71,5.14,nord-est,07:42:06,20:37:00
17,Dunkerque,11.15,9.68,10.86,12.74,1028,52,6.01,nord-est,07:22:17,20:24:09
18,Dieppe,11.66,10.37,11.1,11.68,1026,57,0.89,nord,07:28:43,20:28:24
19,Lorient,12.4,11.31,11.61,12.74,1024,62,3.6,nord-est,07:48:10,20:44:16
