,ville,temp_actuelle,temp_ressentie,temp_min,temp_max,pression_atmo,humidité,vitesse_vent,dir_vent,lever_sol,coucher_sol
0,Gueugnon,7.18,5.01,5.81,8.32,1021,87,3.17,nord-est,07:20:03,20:13:54
1,Paris,9.31,6.15,8.39,11.04,1026,58,6.69,nord-est,07:24:51,20:22:48
2,Gap,7.68,5.55,7.68,7.68,1012,49,3.28,sud,07:13:55,20:04:31
3,Albi,14.44,13.3,10.28,14.5,1021,52,3.58,sud,07:29:54,20:19:22
4,Ajaccio,13.99,13.19,13.99,17.03,1009,67,5.14,sud-ouest,07:04:19,19:50:48
5,Lyon,6.37,4.74,5.75,7.03,1020,87,2.24,est,07:18:42,20:11:05
6,Toulouse,11.88,10.85,10.45,11.99,1021,66,6.69,sud,07:32:58,20:21:56
7,Poitiers,8.44,5.58,8.23,9.58,1024,67,5.14,nord-est,07:34:58,20:28:48
8,Troyes,8.03,5.07,8.03,8.43,1025,57,5.14,nord-est,07:18:25,20:15:22
9,Biarritz,13.03,12.24,11.48,14.14,1022,71,2.57,nord-est,07:45:02,20:33:50
10,Beauvais,9.19,6.33,9.09,9.24,1025,66,5.66,est,07:25:42,20:24:44
11,Amiens,10.14,8.78,8.55,10.14,1028,60,5.91,nord-est,07:24:02,20:24:00
12,Strasbourg,7.5,3.5,6.84,9.45,1026,57,7.72,nord-est,07:03:34,20:00:56
13,Auxerre,7.57,4.04,7.57,7.57,1024,62,6.32,nord-est,07:20:58,20:16:56
14,Marseille,16.27,15.0,13.42,17.14,1011,40,3.13,sud,07:16:58,20:05:29
15,Nice,10.7,8.69,8.34,12.26,1010,33,3.06,sud,07:09:27,19:58:59
16,Nantes,7.96,4.98,7.81,8.72,1025,76,5.14,nord-est,07:42:06,20:37:00
17,Dunkerque,9.98,7.31,7.86,12.76,1029,62,5.72,nord-est,07:22:17,20:24:09
18,Dieppe,9.41,9.41,7.1,9.45,1028,66,0.89,ouest,07:28:43,20:28:24
19,Lorient,9.96,7.68,8.67,10.5,1024,66,4.63,est,07:48:10,20:44:16
